model,epoch,train_loss,val_loss,ppl
lm_po,1,6.897025583412847,6.471170689077939,646.2398302087573
lm_po,2,6.437664766617009,6.394257624009076,598.3989212944994
lm_po,3,6.341773286828854,6.289457164091222,538.8607367192848
lm_po,4,6.24127136897571,6.204628944396973,495.03523625907553
lm_po,5,6.150350820254809,6.106675703385297,448.84414128114616
lm_po,6,6.058426685521168,6.022851276397705,412.75379467479803
lm_po,7,5.986216592084011,5.966109146791346,389.9853392659522
lm_po,8,5.936715802535635,5.925726127624512,374.5503079666053
lm_po,9,5.900073549430359,5.896266836278579,363.67726374537955
lm_po,10,5.872111394487578,5.8724870569565715,355.1311141624186
lm_po,11,5.848168984422543,5.853035046072567,348.28985371621104
lm_po,12,5.827752226091958,5.834111628812902,341.7609885357796
lm_po,13,5.809694749381155,5.821692954792696,337.5430152530077
lm_po,14,5.79398246704064,5.803682624592501,331.5181716594573
lm_po,15,5.778500105947109,5.789864534490249,326.9687283902856
lm_po,16,5.763880678585598,5.775323031930363,322.24851446671505
lm_po,17,5.749442101699378,5.762654405481675,318.1918190488843
lm_po,18,5.736011660744992,5.754104502060834,315.4829066981641
lm_po,19,5.722471379881422,5.7460770158206715,312.9605098041868
lm_po,20,5.709919217772084,5.7262798589818615,306.82570769215386
lm_pf,1,6.87032886796397,6.472872481626623,647.3405326544346
lm_pf,2,6.445855256371898,6.402754088009105,603.5048566686033
lm_pf,3,6.334567455235373,6.2563560822430775,521.3158427922324
lm_pf,4,6.198000042309315,6.152804890800925,470.03393339042026
lm_pf,5,6.1215307518766435,6.099380134133732,445.58148370872505
lm_pf,6,6.074350852097196,6.05618699017693,426.7451472409823
lm_pf,7,6.03667923499798,6.022400396010455,412.5677340327154
lm_pf,8,6.004460251390054,5.991980255351347,400.20633649748936
lm_pf,9,5.972176240582772,5.960873884313247,387.94899869197957
lm_pf,10,5.940688153205834,5.930547119589413,376.36037163718464
lm_pf,11,5.910274796297985,5.902682130477007,366.01786016544304
lm_pf,12,5.8821510417120795,5.877714392718147,356.99236418670904
lm_pf,13,5.856428454074954,5.855165475957534,349.0326517878572
lm_pf,14,5.834320162317436,5.835985065908993,342.40185637504965
lm_pf,15,5.815495150429862,5.818013297810274,336.30325508499305
lm_pf,16,5.799732534168976,5.805516136393828,332.12657172345644
lm_pf,17,5.785718087492318,5.793973535649917,328.315007311038
lm_pf,18,5.773289058596043,5.782263615552117,324.4928868458496
lm_pf,19,5.762160413370931,5.772683704600615,321.3991165681351
lm_pf,20,5.751731640012394,5.766078752629897,319.28328601136326
lm_pok,1,6.8722974989801795,6.467508820926442,643.8777126772903
lm_pok,2,6.4220192532234,6.358361328349394,577.2995764250463
lm_pok,3,6.288764176110329,6.225402074701646,505.42622070456855
lm_pok,4,6.167722003800528,6.126968473546645,458.04547681771317
lm_pok,5,6.095572422290671,6.078114133722642,436.20579275488416
lm_pok,6,6.055683742603057,6.045726058062385,422.3042636140494
lm_pok,7,6.022472154917975,6.014206998488483,409.2012130387838
lm_pok,8,5.990914516848297,5.9834630685694075,396.81217923227666
lm_pok,9,5.961301945113196,5.958762679380529,387.13082282465825
lm_pok,10,5.934100322535473,5.932528787500718,377.1069323821687
lm_pok,11,5.908812368444622,5.909473060159122,368.5119206260122
lm_pok,12,5.8860054579861645,5.889970274532542,361.3945415909343
lm_pok,13,5.865924683110467,5.873433634814094,355.4674325622653
lm_pok,14,5.846878142192446,5.853376332451315,348.40874058522104
lm_pok,15,5.829802291733878,5.839492001253016,343.6047455414765
lm_pok,16,5.813366658581889,5.822621048198027,337.8564321170448
lm_pok,17,5.798104569242506,5.806703488966998,332.52115727273673
lm_pok,18,5.783290954646219,5.792976934769574,327.9879712749909
lm_pok,19,5.7691121160103185,5.780643939971924,323.967739040421
lm_pok,20,5.755477939920472,5.767573025647332,319.76073904431985
lm_pfk,1,6.911492708281343,6.475774933310116,649.2221365845569
lm_pfk,2,6.435432754713913,6.379069558311911,589.3790696037439
lm_pfk,3,6.29595957248669,6.2186038466060864,502.00187091449374
lm_pfk,4,6.160672622361207,6.118449615029728,454.1600255089221
lm_pfk,5,6.078666891957739,6.056051630132338,426.6873869081313
lm_pfk,6,6.032944245291461,6.02365161671358,413.0842704060919
lm_pfk,7,6.007047297919325,6.002831526363598,404.5727315384141
lm_pfk,8,5.9868920988637235,5.984961296530331,397.4071399165122
lm_pfk,9,5.96982039019392,5.970339090683881,391.6384491862192
lm_pfk,10,5.956003116269417,5.95731985428754,386.57266351917224
lm_pfk,11,5.944084084679928,5.946186665927662,382.29274601245197
lm_pfk,12,5.933526160094538,5.93610512228573,378.45800753060166
lm_pfk,13,5.923413165097166,5.927364730834961,375.1645504161013
lm_pfk,14,5.913549550648393,5.91621659783756,371.00539260956776
lm_pfk,15,5.903384181079019,5.908133130915025,368.0184713941237
lm_pfk,16,5.892924341074939,5.898045416439281,364.3246684715127
lm_pfk,17,5.88205520331566,5.88827216204475,360.7813737681507
lm_pfk,18,5.871440781748354,5.8794840980978575,357.6246948485821
lm_pfk,19,5.860136363893894,5.867188543431899,353.2544233773048
lm_pfk,20,5.848896943289658,5.856916685665355,349.644416663966
