model,fold,epoch,train_loss,val_loss,train_acc,val_acc
vit_po,0,1,2.198572394799213,2.097680245126997,0.17252,0.19752
vit_po,0,2,2.078251603306556,2.0479720569386775,0.21732,0.22176
vit_po,0,3,2.022198722678788,2.0111365847441616,0.23976,0.24048
vit_po,0,4,1.9964848574326963,1.984644084560628,0.25008,0.26316
vit_po,0,5,1.9674467991809457,1.9564480130769768,0.26424,0.26436
vit_po,0,6,1.9307751862370237,1.917193202339873,0.28368,0.28852
vit_po,0,7,1.9062625224492988,1.9234326135139077,0.2972,0.28792
vit_po,0,8,1.8920942088779138,1.896077320283773,0.29872,0.2972
vit_po,0,9,1.870218196693732,1.8687982157785066,0.31032,0.30896
vit_po,0,10,1.858102416505619,1.867531230255049,0.3144,0.29684
vit_po,0,11,1.842222876086527,1.829568088054657,0.32044,0.32532
vit_po,0,12,1.8333262022660703,1.823050123088214,0.32144,0.32492
vit_po,0,13,1.8248775723029156,1.8445289439084578,0.32392,0.31992
vit_po,0,14,1.822712495618937,1.8175486435695571,0.32928,0.32692
vit_po,0,15,1.811551563593806,1.8323172093654165,0.33148,0.3198
vit_po,0,16,1.803059116310003,1.8203881547159078,0.33148,0.33316
vit_po,0,17,1.7934474020588154,1.7929088230035743,0.33884,0.33156
vit_po,0,18,1.7806830223725767,1.7790715001067336,0.3378,0.34464
vit_po,0,19,1.7780330771086168,1.7746779912588548,0.34256,0.34592
vit_po,0,20,1.7735439976867364,1.815420692672535,0.34544,0.31732
vit_po,1,1,2.1705640153009065,2.0924495531588185,0.1812,0.21112
vit_po,1,2,2.058276186792218,2.038436612304376,0.22276,0.23736
vit_po,1,3,2.013287826460235,1.9903312933688262,0.2476,0.261
vit_po,1,4,1.9830171070536788,1.9678421105657304,0.26084,0.262
vit_po,1,5,1.961304476674722,1.958310645453784,0.26868,0.27316
vit_po,1,6,1.9323103300162725,1.902086568730218,0.28072,0.29416
vit_po,1,7,1.9034621155991847,1.906550726720265,0.29072,0.28984
vit_po,1,8,1.889632982258894,1.8749522700601695,0.29576,0.30076
vit_po,1,9,1.8657994799467983,1.8544953866880767,0.3016,0.31
vit_po,1,10,1.8623639679684931,1.8483960275747338,0.30552,0.31384
vit_po,1,11,1.843643800944698,1.8350911322905092,0.31224,0.31924
vit_po,1,12,1.8364835466657365,1.8263486599435612,0.31264,0.3226
vit_po,1,13,1.822752899661356,1.8153912090525335,0.31972,0.32092
vit_po,1,14,1.8183937224806572,1.8327160441145605,0.32096,0.31608
vit_po,1,15,1.8006665451186044,1.8382608142434333,0.32708,0.30904
vit_po,1,16,1.8009753324547593,1.7915696617291899,0.32908,0.33524
vit_po,1,17,1.785514500676369,1.8205796352454595,0.3334,0.31656
vit_po,1,18,1.7851428109772352,1.7680302779285275,0.3356,0.34624
vit_po,1,19,1.765874985529452,1.7727565698477687,0.344,0.34572
vit_po,1,20,1.768327545146553,1.758034355786382,0.34232,0.35328
vit_pf,0,1,2.2522932485658296,2.153028977160551,0.1496,0.19324
vit_pf,0,2,2.079126145766706,2.0389655998774936,0.21908,0.24212
vit_pf,0,3,2.0142979986813603,1.9836348307376006,0.25132,0.26924
