model,epoch,train_loss,val_loss,ppl
lm_po,1,6.920590333163445,6.4718289150911215,646.6653421018909
lm_po,2,6.440677742065467,6.401601701624253,602.8097864602298
lm_po,3,6.346301647829892,6.291274407330682,539.8408680488844
lm_po,4,6.245925747115036,6.212166556190042,498.7807179539208
lm_po,5,6.177221898962125,6.1488447189331055,468.1761991318584
lm_po,6,6.10253753920494,6.06930124058443,432.3784474810476
lm_po,7,6.026179389413355,6.006117792690501,405.9044522788672
lm_po,8,5.9715149261681315,5.961342452554142,388.13082186680947
lm_po,9,5.930712210720983,5.926046657562256,374.6703817961003
lm_po,10,5.8969347124616505,5.899101930506089,364.7097860138654
lm_po,11,5.868249634216571,5.87313887091244,355.3626690359436
lm_po,12,5.8424772893266725,5.851971121395335,347.91949659698713
lm_po,13,5.819067377762254,5.830359520631678,340.48106703822685
lm_po,14,5.798167360240016,5.813700114979463,334.855841383097
lm_po,15,5.779387272050228,5.797440685945399,329.45530042715416
lm_po,16,5.761877033510819,5.779088598139146,323.46425011361475
lm_po,17,5.746188416269613,5.762293164870318,318.07689600032813
lm_po,18,5.732138666026111,5.750867445328656,314.4633217486253
lm_po,19,5.718783807284726,5.738013985577751,310.4472456274372
lm_po,20,5.706023226230602,5.728691101074219,307.56643142679627
lm_pf,1,6.923315253751031,6.470670363482307,645.9165807525186
lm_pf,2,6.416907590598308,6.341110089245965,567.4258552317933
lm_pf,3,6.2749860744758195,6.225569405275233,505.5108010402259
lm_pf,4,6.184903751453155,6.158533713396857,472.734402276825
lm_pf,5,6.129262137295577,6.108408955966725,449.6227761381898
lm_pf,6,6.078115895463915,6.056517124176025,426.88605358074244
lm_pf,7,6.033930304602449,6.021855258941651,412.3428893586531
lm_pf,8,6.002819058930346,5.995479903501622,401.60937149518185
lm_pf,9,5.974975398021378,5.967599021687227,390.5668016782545
lm_pf,10,5.9440815454633364,5.9335809371050665,377.5039140973266
lm_pf,11,5.911858250354898,5.904108176511877,366.54019082889124
lm_pf,12,5.8848659516555335,5.880704313166001,358.06134023643983
lm_pf,13,5.863242386597131,5.865654720979578,352.71300913415297
lm_pf,14,5.844707804947651,5.843362740909352,344.9373274311342
lm_pf,15,5.828744639904041,5.834683440713322,341.9564674193732
lm_pf,16,5.814196200206362,5.817823292227352,336.2393616592182
lm_pf,17,5.8013816337867326,5.802975985583137,331.28399073748176
lm_pf,18,5.789821139110133,5.792449283599853,327.8149536887734
lm_pf,19,5.778637441508288,5.781139687930836,324.12838520251717
lm_pf,20,5.768238562668485,5.772396323260139,321.30676572977745
lm_pok,1,6.8644199782404405,6.472024362227496,646.7917433431755
lm_pok,2,6.454597622890191,6.443110011605656,628.3579647288666
lm_pok,3,6.426058938937821,6.403519821166992,603.9671573251825
lm_pok,4,6.373994580043361,6.336462862351361,564.7950163241188
lm_pok,5,6.290094992797363,6.247998540541705,516.9770798472779
lm_pok,6,6.212173800750319,6.18215145223281,484.03220910150384
lm_pok,7,6.152204458349444,6.128303735396441,458.6574959803672
lm_pok,8,6.099138830682914,6.075584804310518,435.10387875273636
lm_pok,9,6.047663937648529,6.024296794218175,413.3508690773451
lm_pok,10,5.993028259042449,5.974146730759564,393.132510058456
lm_pok,11,5.945883338674536,5.939367277481977,379.69461218795635
lm_pok,12,5.914401498921399,5.913654119828168,370.05591647504224
lm_pok,13,5.891784788939753,5.896276120578541,363.68064024985995
lm_pok,14,5.874674448238805,5.879856979145723,357.7580711847484
lm_pok,15,5.858825831577696,5.869370903688319,354.0261936253372
lm_pok,16,5.845240554198843,5.856637124454274,349.5466833092597
lm_pok,17,5.833090758676012,5.844018975426169,345.16376150033335
lm_pok,18,5.821976194240777,5.835811463524314,342.3424197555831
lm_pok,19,5.811177248438003,5.828131125955021,339.72318558405567
lm_pok,20,5.801811762631233,5.816054860283347,335.6452706907789
lm_pfk,1,6.8771926164627075,6.474125132841222,648.1519326534211
lm_pfk,2,6.4560371895729025,6.435056787378648,623.3179784526235
lm_pfk,3,6.36697106760711,6.285401922113755,536.6799508355441
lm_pfk,4,6.224410978444104,6.179188279544606,482.6000609782873
lm_pfk,5,6.148168604362187,6.128863716125489,458.9144072653201
lm_pfk,6,6.104512675055142,6.088411050684312,440.72057184331953
lm_pfk,7,6.063926332689858,6.045657208386589,422.275189103309
lm_pfk,8,6.020654963155098,6.005815887451172,405.78192609463633
lm_pfk,9,5.981301627722867,5.970057072358973,391.52801553969806
lm_pfk,10,5.950741691542376,5.941861629486084,380.64288637796557
lm_pfk,11,5.926687636986155,5.920525085224825,372.607313113331
lm_pfk,12,5.9055183926239385,5.901147326301126,365.4565253049489
lm_pfk,13,5.886525822390476,5.884404894884895,359.3888302140122
lm_pfk,14,5.869389331986752,5.866819437812357,353.124059245055
lm_pfk,15,5.853140037048039,5.851795151654412,347.8582786797172
lm_pfk,16,5.838092436344166,5.839180761225084,343.49781863170676
lm_pfk,17,5.824193694321393,5.8262592315673825,339.087854481489
lm_pfk,18,5.810973012388633,5.8119010364308075,334.2539510083476
lm_pfk,19,5.798842639758669,5.802730936162612,331.2028197333823
lm_pfk,20,5.787195071211002,5.791954680050121,327.65285533953755
