model,fold,epoch,train_loss,val_loss,train_acc,val_acc
vit_po,0,1,2.143096351501893,2.0893834148134505,0.18728,0.21356
vit_po,0,2,2.062944215171191,2.0366126937525615,0.21848,0.22932
vit_po,0,3,2.0305327706191005,2.0506724350306453,0.23832,0.22508
vit_po,0,4,1.999532396087841,1.9839293318135398,0.255,0.26268
vit_po,0,5,1.9737871569030139,2.0100021283237304,0.26484,0.2594
vit_po,0,6,1.944612407562684,1.9532571155197767,0.28324,0.27768
vit_po,0,7,1.9290838825459382,1.9311707293500706,0.28684,0.2808
vit_po,0,8,1.9216267515201957,1.918896738363772,0.29024,0.29384
vit_po,0,9,1.8989576490557925,1.9112217006634693,0.30124,0.29584
vit_po,0,10,1.8912072966293412,1.9024301268616501,0.30528,0.29592
vit_po,0,11,1.8776062824288193,1.8746805233614785,0.31016,0.31152
vit_po,0,12,1.8626065953653685,1.8672358436243874,0.31884,0.31724
vit_po,0,13,1.8635496101817306,1.855114840731329,0.3176,0.32152
vit_po,0,14,1.8499489609076052,1.8604552575520106,0.32452,0.31992
vit_po,0,15,1.8327187609915832,1.82790264913014,0.33292,0.3346
vit_po,0,16,1.8258538422535877,1.8910934693959294,0.33428,0.30532
vit_po,0,17,1.8288925709773083,1.8399220273202779,0.3348,0.31744
vit_po,0,18,1.8111571195174236,1.8282540410148853,0.34188,0.33244
vit_po,0,19,1.7998020478657313,1.7977110208297262,0.3466,0.34312
vit_po,0,20,1.790151371639602,1.8628241048783671,0.34996,0.31984
vit_po,1,1,2.181459688410467,2.095086933398733,0.17392,0.20188
vit_po,1,2,2.0590157472357458,2.0493037165427697,0.21868,0.21872
vit_po,1,3,2.03291178844413,2.0244158615871353,0.2326,0.2336
vit_po,1,4,2.009872394556902,1.9881166681951405,0.242,0.2514
vit_po,1,5,1.9955778091537708,1.9904415206033357,0.24812,0.25748
vit_po,1,6,1.983481568949563,1.9638136947641567,0.25648,0.26932
vit_po,1,7,1.9527535116185948,1.9204466178709148,0.27604,0.29192
vit_po,1,8,1.9312249732260802,1.9170574326904453,0.28416,0.28912
vit_po,1,9,1.9113634362512706,1.913057809581562,0.29172,0.29432
vit_po,1,10,1.8977408634156596,1.9082718303008956,0.29496,0.29924
vit_po,1,11,1.874458024696428,1.881345117578701,0.307,0.29956
vit_po,1,12,1.8605310472906853,1.848190653080843,0.30964,0.31508
vit_po,1,13,1.8403380075279547,1.8262827055794852,0.31864,0.32544
vit_po,1,14,1.8266888625767765,1.853152517761503,0.32136,0.3114
vit_po,1,15,1.8179188632235235,1.7992703494976978,0.32608,0.33572
vit_po,1,16,1.7976542364577859,1.8102190725657406,0.3302,0.32324
vit_po,1,17,1.7884605685058905,1.793284104794872,0.33256,0.33692
vit_po,1,18,1.7715106053011758,1.7656593876225608,0.34156,0.3418
vit_po,1,19,1.7611875540139723,1.777836991816151,0.3466,0.341
vit_po,1,20,1.7421896877337475,1.7513568273612432,0.35024,0.35476
vit_pf,0,1,2.2031285653308945,2.124923980965906,0.16684,0.19804
vit_pf,0,2,2.0785424593760045,2.044417401357573,0.21548,0.22928
vit_pf,0,3,2.0221447080981974,2.006331241252471,0.2394,0.2468
vit_pf,0,4,1.9843097852200877,1.9612849543289261,0.25988,0.26092
vit_pf,0,5,1.944811493766551,1.9665423351891187,0.28164,0.27636
vit_pf,0,6,1.9191723228717337,1.898557847859908,0.2906,0.29944
vit_pf,0,7,1.90141384942191,1.9059241438398555,0.29812,0.2928
vit_pf,0,8,1.8833902496464399,1.8770496297855765,0.30804,0.30908
vit_pf,0,9,1.875496736594609,1.8782240675420177,0.31,0.30632
vit_pf,0,10,1.8582139465273644,1.8514137626910696,0.31708,0.32108
vit_pf,0,11,1.8401174381071208,1.92527566941417,0.3294,0.30148
vit_pf,0,12,1.8280520299259497,1.8259747502755146,0.33308,0.33668
vit_pf,0,13,1.8180629124446792,1.8295307268901748,0.3372,0.33644
vit_pf,0,14,1.8080498995829601,1.825206817412863,0.33936,0.33596
vit_pf,0,15,1.7980929941547161,1.806764690243468,0.34688,0.34536
vit_pf,0,16,1.7888056994700918,1.8057971614964154,0.34912,0.34476
vit_pf,0,17,1.7793981177466256,1.7913404064519065,0.3522,0.34528
vit_pf,0,18,1.7728071912210814,1.7810184827872686,0.35444,0.34616
vit_pf,0,19,1.7645703596728188,1.773604195945117,0.35756,0.35132
vit_pf,0,20,1.757841397304924,1.7646611089609108,0.35972,0.35752
vit_pf,1,1,2.1876134227733224,2.0869259183504143,0.1684,0.2108
vit_pf,1,2,2.0565303673549575,2.0281037785569014,0.22172,0.23644
vit_pf,1,3,2.0081089777605876,1.9802521923366858,0.24652,0.25892
vit_pf,1,4,1.9739165853480904,1.9569237682284142,0.25832,0.26504
vit_pf,1,5,1.9480469938443632,1.9379219066123574,0.27416,0.28372
vit_pf,1,6,1.9234643347409306,1.9044332011621825,0.28436,0.29368
vit_pf,1,7,1.898486248084477,1.8966375206198012,0.29912,0.29592
vit_pf,1,8,1.875887750971074,1.8796750203687318,0.30628,0.31184
vit_pf,1,9,1.863006096713397,1.8453000838659248,0.3152,0.32512
vit_pf,1,10,1.8399244662450285,1.8307279324044987,0.32396,0.33196
vit_pf,1,11,1.8263506481842118,1.8373139567521153,0.3306,0.32872
vit_pf,1,12,1.8139415462406314,1.7971332170525376,0.33408,0.34576
vit_pf,1,13,1.8034192822417434,1.8651496421317666,0.3392,0.31852
vit_pf,1,14,1.7925439945289068,1.7918712393361695,0.34388,0.34896
vit_pf,1,15,1.78047764240479,1.7735334878065148,0.3494,0.35472
vit_pf,1,16,1.7748680418851424,1.774844500483299,0.35168,0.35592
vit_pf,1,17,1.7601288119140936,1.7704774159557966,0.35768,0.35164
vit_pf,1,18,1.7547944966627627,1.7530410776332932,0.35772,0.36376
vit_pf,1,19,1.748029084229956,1.7522929955501945,0.36224,0.36392
vit_pf,1,20,1.7415100293500083,1.801378248905649,0.3632,0.33792
vit_pok,0,1,2.265285614801913,2.145625583979548,0.13836,0.18156
vit_pok,0,2,2.101879141768631,2.0692270179184113,0.20724,0.212
vit_pok,0,3,2.057546785899571,2.05306639233414,0.22464,0.22168
vit_pok,0,4,2.014623314142227,2.0076880710465566,0.24216,0.25196
vit_pok,0,5,1.9792007657946373,1.964253462698995,0.25636,0.26368
vit_pok,0,6,1.9479425604246101,1.9445288941568257,0.27816,0.28164
vit_pok,0,7,1.9244878681338564,1.9538367992761183,0.28796,0.26656
vit_pok,0,8,1.9057497211865015,1.8942184454324293,0.30024,0.30804
vit_pok,0,9,1.8872986709584996,1.8929464585927067,0.3058,0.2964
vit_pok,0,10,1.8732705231831999,1.8689133482319968,0.30948,0.31176
vit_pok,0,11,1.8597106471353648,1.8559821564324048,0.31796,0.31992
vit_pok,0,12,1.8464103438416306,1.8741473360937468,0.32192,0.30956
vit_pok,0,13,1.8302631116643244,1.8256556683657121,0.33056,0.33172
vit_pok,0,14,1.8237455316952296,1.846297949552536,0.3326,0.32948
vit_pok,0,15,1.8118185200253312,1.818160936540487,0.33684,0.33632
vit_pok,0,16,1.7991346242476483,1.834559444262057,0.3438,0.32792
