model,epoch,train_loss,val_loss,ppl
lm_po,1,6.887325682076328,6.47285431693582,647.3287740206109
lm_po,2,6.445594737095199,6.4115149946773755,608.8153347266085
lm_po,3,6.357592693103358,6.304835734647863,547.211692880315
lm_po,4,6.246673171743383,6.188373582503375,487.0533096554911
lm_po,5,6.132244444833013,6.081763878990622,437.8007415908622
lm_po,6,6.037226429713771,6.001601690404556,404.07547927715046
lm_po,7,5.9664577897546325,5.943762173372156,381.36700277798343
lm_po,8,5.912431398048777,5.8970895206227025,363.97657844045193
lm_po,9,5.870847473003594,5.86358486624325,351.9836994845299
lm_po,10,5.836916130164574,5.833434778101304,341.5297456347818
lm_po,11,5.808186502879476,5.80787654764512,332.91145297706
lm_po,12,5.784087744252435,5.7866850852966305,325.9307988269833
lm_po,13,5.763090324519303,5.767457165437587,319.7236936441112
lm_po,14,5.744423243212583,5.754869842529297,315.72445095377526
lm_po,15,5.7281495667443485,5.736527392443489,309.98607975147905
lm_po,16,5.7132782348858315,5.7251323587754195,306.4738270593965
lm_po,17,5.700022124891798,5.712490014468922,302.62366821406835
lm_po,18,5.68762763674036,5.703719733743107,299.9811783165227
lm_po,19,5.676498181714213,5.693444465188419,296.9145732246624
lm_po,20,5.6655194671283216,5.682611779605641,293.7155493010905
lm_pf,1,6.889353083272286,6.472128408095416,646.8590428525321
lm_pf,2,6.437906314586771,6.37754514357623,588.4812959287045
lm_pf,3,6.303636418187559,6.2441964429967545,515.0152145262397
lm_pf,4,6.195316431557604,6.16142775591682,474.10449733807775
lm_pf,5,6.122798858604995,6.09400032267851,443.1907758831672
lm_pf,6,6.060102177370945,6.0391037940979,419.51689284609307
lm_pf,7,6.008624054528222,5.992138845780317,400.2698104251165
lm_pf,8,5.969528769037407,5.957257927165312,386.54872492782
lm_pf,9,5.937992726640748,5.929444930132697,375.945779725029
lm_pf,10,5.910901613423389,5.902272157108082,365.86783334582583
lm_pf,11,5.887751420143203,5.882468296499813,358.69351187929635
lm_pf,12,5.8680529841061295,5.864268841462977,352.2245299643764
lm_pf,13,5.849700036894512,5.848032496957218,346.5518674220134
lm_pf,14,5.8321776266755725,5.831774863074807,340.96330552928873
lm_pf,15,5.815371126964174,5.8157508850097654,335.54325833319695
lm_pf,16,5.798529276706902,5.798727860170252,329.8796398388941
lm_pf,17,5.782976679026787,5.785863135842716,325.6630102542855
lm_pf,18,5.768436002026638,5.771956539154052,321.1654911884573
lm_pf,19,5.754853137608232,5.7599632880266975,317.3366786483252
lm_pf,20,5.742105040056952,5.74878454208374,313.809006749327
lm_pok,1,6.872002620415147,6.4723029136657715,646.9719332084563
lm_pok,2,6.456045746803284,6.445661825292251,629.9634647806273
lm_pok,3,6.432447068796956,6.4187931733972885,613.2625657798791
lm_pok,4,6.384513199622996,6.349314336215748,572.1003060399796
lm_pok,5,6.297729923807341,6.251714639102711,518.90179162418
lm_pok,6,6.183573903121385,6.131701278686523,460.2184548894637
lm_pok,7,6.074661005306714,6.046943905774285,422.81887919331547
lm_pok,8,6.003352401879034,5.986388655269847,397.9747874928077
lm_pok,9,5.953959908391455,5.9442587459788605,381.5564262120157
lm_pok,10,5.913636817133486,5.9120055984048285,369.4463739289147
lm_pok,11,5.8806138067997145,5.8823720595415905,358.65899396775484
lm_pok,12,5.854257610631106,5.861269990135642,351.16984318001386
lm_pok,13,5.832028464143499,5.839787572972915,343.70632039766946
lm_pok,14,5.813802803678466,5.823507404327392,338.15602599031615
lm_pok,15,5.796436052017024,5.809589352327235,333.4821538825182
lm_pok,16,5.781477714407033,5.802614565456615,331.16427966993245
lm_pok,17,5.767225339494902,5.788244376463049,326.4394162807554
lm_pok,18,5.753251503841043,5.77198803284589,321.1756060347417
lm_pok,19,5.7399518736477555,5.76073616252226,317.5820348763312
lm_pok,20,5.728236309413252,5.755040398766012,315.7783043203521
lm_pfk,1,6.929100737783122,6.475970133613138,649.3488773118585
lm_pfk,2,6.458045182556941,6.4333538055419925,622.2573826009173
lm_pfk,3,6.378851656256051,6.311397793713738,550.8143357806251
lm_pfk,4,6.258407876996571,6.212776997510125,499.0852872652088
lm_pfk,5,6.169755214540829,6.125818779889275,457.519167443476
lm_pfk,6,6.092200146520079,6.0657165078555835,430.83126109077807
lm_pfk,7,6.046900157857999,6.033231168634751,417.06044721130127
lm_pfk,8,6.017418732784065,6.0118260159212,408.22807106080467
lm_pfk,9,5.997243969311268,5.993302973578958,400.7360469651943
lm_pfk,10,5.980479839400117,5.9764085545259364,394.02271287447115
lm_pfk,11,5.962847299176484,5.958116593080408,386.8807836858057
lm_pfk,12,5.943369888319758,5.939042988945456,379.57150154060975
lm_pfk,13,5.924799877434529,5.922590839161592,373.37782370590554
lm_pfk,14,5.909604287499865,5.909845481199377,368.6491877778392
lm_pfk,15,5.896996279655419,5.898573953965131,364.5172786267563
lm_pfk,16,5.885912740759075,5.8906156652113975,361.62785754133745
lm_pfk,17,5.875261108276292,5.881492463280173,358.3436575622298
lm_pfk,18,5.865707924213315,5.870413191178265,354.39538306541084
lm_pfk,19,5.856413382614774,5.862232774846694,351.50810694747236
lm_pfk,20,5.847243522775584,5.858802750531365,350.3044909896596
